"","G","GS","QBrec","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Lng","Y/A","AY/A","Y/C","Y/G","Rate","Sk","Yds.1","NY/A","ANY/A","Sk%","AV"
"151",20,16,12,301,490,178.7,3536,23,17.3,10,6.5,92,16.7,17.2,28.1,285.8,253.3,30,160,14.75,15.52,17.5,18
"152",7,0,0,35,59,167.7,329,1,3.6,1,6.3,75,15,12.9,25.8,153.7,194,9,70,9.77,8.04,42.2,1
"153",41,40,18,644,1032,188.8,8519,52,15.9,43,12,210,25.3,23.2,40.1,620.2,272.1,99,622,21.44,19.43,26,33
"154",38,10,2,220,337,65.3,2903,19,5.6,13,3.9,56,8.6,8,13.2,181.4,95.1,21,124,7.76,7.19,5.9,12
"156",9,1,-1,20,48,107.7,314,2,19.3,3,7.7,97,15.1,15.5,29,113,212.5,3,16,14.23,14.84,7.1,1
"158",31,25,-11,354,680,157.1,4083,18,7.7,23,12.8,202,17.5,13.3,33.3,362.1,183,70,457,14.05,10.29,27.9,6
"159",46,46,20,885,1456,181.9,10061,66,13.5,34,7.2,206,20.9,20.3,34.5,654.9,259.6,59,354,19.38,18.84,11.7,40
"161",47,47,7,782,1414,165.3,9209,55,11.5,51,11.4,213,19.6,16.8,35.6,585.7,216.5,92,609,17.16,14.5,18.5,24
"162",13,9,-5,181,315,171.7,2000,5,2.2,7,8,124,19.3,16.2,34,393.7,204.2,27,200,16.69,13.74,20,4
"163",38,2,-2,84,161,165.4,1033,6,11.4,6,13.1,159,20.1,16.5,36.6,98.9,211.3,12,49,17.86,14.42,20.9,4
"164",26,24,2,495,835,118.5,5686,30,7.1,24,6.1,120,13.5,12.2,22.9,450.6,157.9,64,407,11.63,10.42,14.6,13
"165",19,15,-1,291,492,173.2,3087,12,5.5,17,12.9,208,18.4,13.6,31.9,473.4,191.8,43,312,15.1,10.7,24.1,8
"166",20,17,-1,320,602,156.7,3707,15,6.6,25,11.2,174,17.9,14.2,34.1,533.2,186.6,47,325,15.09,11.65,21.3,4
"167",0,30,-8,435,800,157.7,4679,19,5.2,31,12.4,167,16.5,12,31.3,408.4,172.8,81,508,12.98,9.02,30.3,7
"168",31,29,-7,493,852,179.8,5836,27,11,35,10.6,171,20.1,17.5,33.6,635.8,231.9,74,509,17.04,14.66,22.6,15
"169",14,2,0,48,89,183.2,558,3,27.6,1,11.1,131,29.1,29.7,43.4,132.7,257,5,30,24.16,23.66,25,2
"170",29,29,-3,679,1136,176.2,7840,60,15.9,37,8.7,184,19.2,18.4,32.7,719.9,249.5,64,462,17.06,16.36,15.2,21
"171",0,4,0,104,187,161.9,1158,5,9.3,9,14.3,158,18.7,14.1,34.5,256,199.5,17,104,13.69,9.3,39.8,4
"172",42,20,6,252,477,161.7,3180,22,19.1,19,10.6,116,18.8,17.8,33.9,201.1,230.9,24,189,15.64,14.66,25.9,23
"174",48,48,-2,1029,1662,185.1,11252,63,11.2,42,7.6,197,20.4,19.2,33,703.3,250.6,139,970,17.17,16.06,22.9,34
"175",13,0,0,19,35,178.6,199,0,0,2,23.4,45,24.6,14,30.5,32.3,181,5,33,10.06,-0.35,76.1,1
"176",35,16,2,173,361,171.5,2422,17,10.5,9,5.9,129,19.3,18.7,36.2,199.5,239.9,41,258,15.29,14.79,37.7,12
"177",35,33,-13,551,1111,144.4,7454,38,10,63,15.7,177,20.1,14.9,41.9,620,177.9,89,726,16.53,11.82,23.7,19
"178",0,11,-9,236,434,138.1,2732,19,16.8,15,44.6,131,23.4,6.7,52.6,268.8,181.7,27,171,20.43,4.85,20.1,9
"180",8,3,-1,72,147,144,799,4,12.7,10,8.1,63,13.2,12.1,26.5,229,195.1,4,33,12.78,11.79,3.1,2
"181",0,21,4,331,634,149.1,4306,22,9.6,14,7.6,175,19.8,18.3,40.1,410.8,213.3,63,383,15.8,14.52,31.3,25
"182",18,9,-3,262,429,124.9,3031,22,10.8,11,4.2,98,14.9,15.1,23.8,326.5,228.1,36,261,12.54,12.76,15.8,10
"184",25,4,0,114,194,178.1,1315,11,16.8,9,12.6,136,21.2,18.9,35.9,162.1,246.7,20,116,17.43,15.37,29.4,5
"185",15,9,-5,174,333,160.7,1919,3,1.1,16,10.8,98,15.1,10.4,28.3,279.8,161.1,51,295,12.22,8.09,23.6,1
"186",28,27,15,564,857,169.2,7821,62,14.3,31,7.8,181,22.1,21.5,37.8,622.8,254.7,49,316,20.44,19.83,10.9,34
"188",28,21,-11,462,825,168.7,5419,26,13.4,28,11.6,209,20.4,17.9,36.3,502.7,228.6,56,375,18.15,15.78,16.7,12
"189",24,16,-14,317,591,152.8,3175,12,9.7,22,11.4,90,15,12,29.7,246.7,181.3,32,212,13.09,10.43,18.2,7
"191",0,4,-2,84,155,105.8,805,3,3.8,4,4.8,99,10.4,9.1,19.9,183.8,128.4,13,59,8.69,7.39,17.3,3
"192",48,48,24,794,1252,190.3,9950,72,17.4,26,6.2,227,23.8,24.5,37.7,621.9,296.2,119,717,20.22,20.83,26,51
"193",45,45,-9,939,1544,182.9,11636,69,13.3,44,8.5,183,22.7,21.6,37.3,777.7,262.5,95,636,20.19,19.12,17.5,35
"195",15,12,0,164,329,143.3,1965,14,10.2,16,15.3,190,16.6,11.7,34.6,362.9,165.1,36,247,12.52,8.32,33,8
"196",0,5,-1,101,166,169.4,1100,3,2.2,6,21.3,89,16,6.8,28.6,205.4,134.8,18,81,13.74,5.4,27.5,3
"197",33,29,7,444,775,174.9,4964,22,8.6,32,13.7,180,19,14.4,32.7,389.3,202.3,53,299,16.57,12.44,20.3,19
